SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 18-Jul-2022,71.95,72.5,73.75,72.0,72.35,72.65,72.85,103361,75.3,1498, 54701, 52.92
21STCENMGM, EQ, 18-Jul-2022,24.9,25.3,25.3,24.45,24.7,24.75,24.89,4585,1.14,52, 2499, 54.50
3IINFOLTD, EQ, 18-Jul-2022,42.55,42.8,44.55,42.7,44.5,44.15,43.79,309861,135.68,3935, 170881, 55.15
3MINDIA, EQ, 18-Jul-2022,21928.35,22380.0,22950.0,22052.0,22654.4,22778.85,22543.38,2785,627.83,1807, 1381, 49.59
3PLAND, EQ, 18-Jul-2022,15.35,14.7,15.5,14.6,15.0,15.0,14.94,2561,0.38,88, 1612, 62.94
456GS2023, GS, 18-Jul-2022,100.0,98.5,98.5,98.5,98.5,98.5,98.5,10000,9.85,1, 10000, 100.00
5PAISA, EQ, 18-Jul-2022,283.75,287.0,287.0,281.3,285.5,284.4,284.48,18081,51.44,627, 10714, 59.26
610GS2031, GS, 18-Jul-2022,94.0,92.0,93.0,92.0,93.0,93.0,92.95,1050,0.98,2, 1050, 100.00
622GS2035, GS, 18-Jul-2022,87.34,87.34,87.34,87.34,87.34,87.34,87.34,200,0.17,2, 200, 100.00
63MOONS, EQ, 18-Jul-2022,186.4,189.75,189.75,185.05,186.05,186.75,187.22,31359,58.71,690, 22439, 71.56
654GS2032, GS, 18-Jul-2022,94.3,94.3,94.3,94.3,94.3,94.3,94.3,500,0.47,3, 500, 100.00
667GS2050, GS, 18-Jul-2022,91.6,96.18,96.18,90.5,90.5,90.5,90.83,762,0.69,12, 660, 86.61
669GS2024, GS, 18-Jul-2022,101.0,99.61,99.61,99.5,99.5,99.55,99.56,1000,1.0,2, 1000, 100.00
676GS2061, GS, 18-Jul-2022,95.0,94.01,94.01,94.0,94.0,94.0,94.0,90,0.08,2, 90, 100.00
695GS2061, GS, 18-Jul-2022,93.9,93.25,93.25,92.5,92.5,92.5,92.7,4943,4.58,21, 4943, 100.00
699GS2051, GS, 18-Jul-2022,94.76,94.2,94.2,94.0,94.0,94.0,94.03,692,0.65,8, 692, 100.00
710GS2029, GS, 18-Jul-2022,100.0,100.0,100.75,100.0,100.75,100.75,100.07,3031,3.03,8, 3031, 100.00
738GS2027, GS, 18-Jul-2022,101.1,100.05,100.75,100.0,100.0,100.0,100.0,30890,30.89,12, 30890, 100.00
754GS2036, GS, 18-Jul-2022,101.5,101.6,101.6,101.5,101.6,101.6,101.6,19000,19.3,7, 19000, 100.00
813GS2045, GS, 18-Jul-2022,115.85,115.85,115.85,115.85,115.85,115.85,115.85,20,0.02,1, 20, 100.00
A2ZINFRA, EQ, 18-Jul-2022,11.5,11.85,11.85,11.5,11.7,11.7,11.67,129070,15.06,270, 110144, 85.34
AAATECH, SM, 18-Jul-2022,98.65,100.5,100.5,99.1,100.45,100.45,99.99,54000,53.99,12, 39000, 72.22
AAKASH, EQ, 18-Jul-2022,14.15,14.3,14.3,13.75,13.9,13.85,13.91,138529,19.26,464, 96225, 69.46
AAREYDRUGS, EQ, 18-Jul-2022,35.05,35.05,35.55,34.05,34.8,34.85,34.96,16270,5.69,240, 9583, 58.90
AARON, EQ, 18-Jul-2022,126.2,129.7,135.0,127.05,127.5,127.75,130.45,19602,25.57,614, 10685, 54.51
AARTIDRUGS, EQ, 18-Jul-2022,437.9,435.1,444.5,435.1,438.2,440.95,440.73,76638,337.77,4172, 24104, 31.45
AARTIIND, EQ, 18-Jul-2022,728.4,732.1,738.4,729.55,735.0,735.6,734.39,293470,2155.21,10081, 118196, 40.28
AARTISURF, EQ, 18-Jul-2022,719.3,740.0,740.0,727.0,736.8,738.2,733.54,4334,31.79,744, 2437, 56.23
AARVEEDEN, EQ, 18-Jul-2022,18.35,18.35,18.45,18.0,18.0,18.2,18.27,6584,1.2,70, 4978, 75.61
AARVI, EQ, 18-Jul-2022,90.5,92.95,99.55,92.95,97.0,97.85,98.93,161024,159.31,1526, 44982, 27.93
AAVAS, EQ, 18-Jul-2022,1992.45,2016.0,2016.0,1957.0,1985.0,1996.9,1983.69,136383,2705.42,15418, 59108, 43.34
ABAN, EQ, 18-Jul-2022,43.95,44.5,45.45,44.0,45.0,45.05,44.69,80090,35.79,1440, 37945, 47.38
ABB, EQ, 18-Jul-2022,2559.45,2579.0,2597.5,2554.1,2581.4,2586.55,2586.54,205877,5325.1,19017, 96278, 46.76
ABBOTINDIA, EQ, 18-Jul-2022,19746.95,19750.0,19939.4,19630.0,19881.0,19867.35,19799.16,9665,1913.59,4042, 2654, 27.46
ABCAPITAL, EQ, 18-Jul-2022,92.2,92.95,95.7,92.55,95.25,95.2,94.39,2037317,1923.03,11932, 682868, 33.52
ABCOTS, SM, 18-Jul-2022,38.8,38.8,38.8,38.8,38.8,38.8,38.8,4000,1.55,1, 4000, 100.00
ABFRL, EQ, 18-Jul-2022,254.65,258.1,262.3,256.75,261.65,261.55,260.04,1466441,3813.32,12652, 561909, 38.32
ABMINTLLTD, BE, 18-Jul-2022,80.0,80.0,80.0,78.1,79.0,79.0,79.17,153,0.12,11, -, -
ABSLAMC, EQ, 18-Jul-2022,414.3,414.05,419.25,413.8,418.5,418.7,416.92,32842,136.92,2027, 20051, 61.05
ABSLBANETF, EQ, 18-Jul-2022,34.59,34.61,35.4,34.61,35.39,35.36,35.04,2606,0.91,114, 1574, 60.40
ABSLNN50ET, EQ, 18-Jul-2022,39.95,39.95,40.9,39.95,40.37,40.39,40.38,1626,0.66,55, 1026, 63.10
ACC, EQ, 18-Jul-2022,2140.35,2160.95,2179.9,2152.0,2172.05,2174.0,2169.64,296459,6432.09,19001, 150706, 50.84
ACCELYA, EQ, 18-Jul-2022,902.45,908.15,911.35,890.1,897.0,896.8,898.64,14229,127.87,670, 10971, 77.10
ACCURACY, EQ, 18-Jul-2022,202.45,206.3,206.5,201.0,201.05,202.55,202.41,22024,44.58,661, 16300, 74.01
ACE, EQ, 18-Jul-2022,220.45,222.95,223.7,219.75,221.0,220.8,221.42,134229,297.21,4899, 54300, 40.45
ACRYSIL, EQ, 18-Jul-2022,580.45,585.0,631.85,584.0,625.0,622.0,606.28,194754,1180.75,14844, 60357, 30.99
ADANIENT, EQ, 18-Jul-2022,2405.25,2424.0,2441.85,2406.05,2426.6,2423.6,2424.1,937204,22718.8,33675, 146809, 15.66
ADANIGREEN, EQ, 18-Jul-2022,2072.65,2104.7,2132.6,2072.65,2089.9,2093.25,2098.61,3663774,76888.45,158561, 574298, 15.68
ADANIPORTS, EQ, 18-Jul-2022,730.9,736.95,742.5,732.6,738.0,739.75,737.99,2403691,17739.11,40625, 632282, 26.30
ADANIPOWER, EQ, 18-Jul-2022,286.75,289.4,294.45,286.8,289.25,289.85,290.45,5250758,15250.91,60107, 2146325, 40.88
ADANITRANS, EQ, 18-Jul-2022,2889.35,2922.0,3020.0,2911.3,2998.0,2980.5,2971.24,1042670,30980.23,60750, 372301, 35.71
ADFFOODS, EQ, 18-Jul-2022,712.8,725.0,725.0,700.0,705.0,702.6,706.04,7450,52.6,809, 4535, 60.87
ADL, BE, 18-Jul-2022,57.2,59.3,59.9,54.65,58.5,58.5,58.3,917,0.53,28, -, -
ADORWELD, EQ, 18-Jul-2022,789.55,804.7,804.7,782.1,787.1,794.4,791.98,15574,123.34,2547, 9525, 61.16
ADROITINFO, BE, 18-Jul-2022,18.85,18.85,19.75,17.95,17.95,17.95,18.98,86623,16.44,261, -, -
ADSL, EQ, 18-Jul-2022,130.4,130.95,137.5,130.95,135.6,135.95,134.59,317705,427.61,3308, 183566, 57.78
ADVANIHOTR, EQ, 18-Jul-2022,69.1,70.0,70.6,68.2,70.2,69.2,69.77,9440,6.59,256, 6173, 65.39
ADVENZYMES, EQ, 18-Jul-2022,274.05,274.05,278.0,269.2,276.0,275.5,274.94,33908,93.23,2169, 16628, 49.04
AEGISCHEM, EQ, 18-Jul-2022,206.65,208.25,210.0,206.0,207.8,207.4,207.44,345304,716.31,5267, 204633, 59.26
AETHER, EQ, 18-Jul-2022,853.7,867.75,933.0,862.0,921.15,917.4,897.14,403434,3619.35,23545, 131207, 32.52
AFFLE, EQ, 18-Jul-2022,1018.15,1038.0,1100.0,1026.1,1068.05,1069.25,1076.71,793247,8540.95,41033, 241348, 30.43
AGARIND, EQ, 18-Jul-2022,446.35,449.9,485.0,448.1,477.0,478.55,473.25,63487,300.45,3991, 31263, 49.24
AGI, EQ, 18-Jul-2022,205.0,206.5,215.3,206.0,209.7,209.75,211.64,162515,343.94,5527, 100272, 61.70
AGRITECH, BE, 18-Jul-2022,84.5,88.6,88.7,80.7,84.0,82.6,83.1,6977,5.8,118, -, -
AGROPHOS, EQ, 18-Jul-2022,31.05,30.75,32.15,30.15,31.6,31.6,31.07,72774,22.61,517, 48109, 66.11
AGSTRA, EQ, 18-Jul-2022,77.55,78.5,79.8,76.1,77.5,77.65,78.36,123929,97.11,2477, 57850, 46.68
AHLADA, EQ, 18-Jul-2022,90.55,92.35,93.25,89.05,92.3,92.35,91.9,4092,3.76,155, 2502, 61.14
AHLEAST, EQ, 18-Jul-2022,221.65,222.9,230.45,220.0,227.0,221.65,223.96,5787,12.96,401, 3564, 61.59
AHLUCONT, EQ, 18-Jul-2022,433.9,437.5,459.0,433.9,451.0,453.3,449.21,50339,226.13,3241, 14628, 29.06
AIAENG, EQ, 18-Jul-2022,2301.3,2308.8,2383.3,2301.35,2362.0,2361.85,2362.16,73317,1731.87,9500, 41254, 56.27
AIRAN, EQ, 18-Jul-2022,19.9,19.95,20.15,19.85,19.95,19.95,19.96,158616,31.66,946, 110485, 69.66
AIROLAM, EQ, 18-Jul-2022,65.4,65.55,66.4,63.35,64.0,63.95,64.31,16828,10.82,219, 9219, 54.78
AIRTELPP, E1, 18-Jul-2022,272.25,276.1,289.9,272.1,288.25,287.45,283.8,209837,595.53,2663, 163342, 77.84
AJANTPHARM, EQ, 18-Jul-2022,1206.7,1213.1,1248.0,1207.25,1236.0,1237.6,1232.34,47609,586.7,10495, 26113, 54.85
AJMERA, EQ, 18-Jul-2022,252.45,256.9,261.85,255.95,261.0,259.25,258.89,26466,68.52,2134, 9250, 34.95
AJOONI, EQ, 18-Jul-2022,44.05,44.7,46.35,43.05,44.45,44.3,44.36,104547,46.38,933, 27511, 26.31
