SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 24-Aug-2020,31.75,32.25,32.25,31.5,31.5,31.55,31.79,74585,23.71,558, 48181, 64.60
21STCENMGM, EQ, 24-Aug-2020,10.45,10.65,10.65,10.35,10.65,10.65,10.51,5463,0.57,34, 5141, 94.11
3IINFOTECH, EQ, 24-Aug-2020,3.5,3.65,3.65,3.65,3.65,3.65,3.65,449095,16.39,306, 449095, 100.00
3MINDIA, EQ, 24-Aug-2020,20613.85,20799.85,21380.0,20615.05,20900.0,20927.35,21020.65,5773,1213.52,3044, 3111, 53.89
5PAISA, BE, 24-Aug-2020,352.05,352.05,352.05,338.0,351.9,351.15,347.1,7094,24.62,399, -, -
63MOONS, EQ, 24-Aug-2020,83.35,84.0,84.45,82.1,83.0,82.45,83.17,39433,32.8,632, 25561, 64.82
719GS2060, GS, 24-Aug-2020,111.29,112.29,112.29,112.29,112.29,112.29,112.29,100,0.11,1, 100, 100.00
727GS2026, GS, 24-Aug-2020,109.0,109.0,109.0,109.0,109.0,109.0,109.0,100,0.11,1, 100, 100.00
732GS2024, GS, 24-Aug-2020,109.0,109.5,109.5,109.5,109.5,109.5,109.5,294,0.32,1, 294, 100.00
762GS2039, GS, 24-Aug-2020,113.2,118.82,118.82,118.82,118.82,118.82,118.82,100,0.12,1, 100, 100.00
A2ZINFRA, EQ, 24-Aug-2020,4.6,4.8,4.8,4.8,4.8,4.8,4.8,163088,7.83,126, 163087, 100.00
AAKASH, SM, 24-Aug-2020,40.25,40.5,42.25,39.5,42.25,42.25,40.32,21000,8.47,6, 21000, 100.00
AARON, SM, 24-Aug-2020,50.1,50.25,50.25,50.25,50.25,50.25,50.25,6600,3.32,2, 6600, 100.00
AARTIDRUGS, EQ, 24-Aug-2020,3133.7,3250.0,3447.05,3225.0,3447.05,3447.05,3386.38,1130266,38275.08,88562, 288493, 25.52
AARTIIND, EQ, 24-Aug-2020,1176.1,1182.0,1225.0,1160.55,1181.5,1173.1,1194.82,1024339,12239.02,51273, 297182, 29.01
AARTISURF, BE, 24-Aug-2020,462.4,485.5,485.5,485.5,485.5,485.5,485.5,8112,39.38,73, -, -
AARVEEDEN, EQ, 24-Aug-2020,11.85,12.0,12.4,11.95,12.4,12.4,12.29,29744,3.66,143, 23689, 79.64
AARVI, EQ, 24-Aug-2020,44.45,44.5,45.45,43.5,45.35,44.4,44.29,3264,1.45,53, 2796, 85.66
AAVAS, EQ, 24-Aug-2020,1442.95,1450.0,1555.0,1415.35,1455.0,1462.8,1503.84,78309,1177.64,8916, 32503, 41.51
ABAN, EQ, 24-Aug-2020,29.1,29.2,30.0,28.75,29.05,28.95,29.4,125167,36.8,915, 76471, 61.10
ABB, EQ, 24-Aug-2020,982.85,986.0,996.5,966.25,974.0,971.25,984.34,92187,907.43,5441, 35838, 38.88
