SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 02-Mar-2020,31.2,31.6,32.6,30.15, 30.25,31.15,31.58,30895,9.76,292, 20953, 67.82
21STCENMGM, EQ, 02-Mar-2020,12.3,12.1,12.5,12.1, 12.10,12.1,12.44,35334,4.4,19, 35285, 99.86
3IINFOTECH, EQ, 02-Mar-2020,1.95,2.0,2.05,1.9, 1.95,1.9,1.96,1659814,32.51,724, 830288, 50.02
3MINDIA, EQ, 02-Mar-2020,20575.25,20805.0,20995.0,20000.0, 20100.00,20131.65,20489.82,3958,810.99,1484, 1928, 48.71
3PLAND, EQ, 02-Mar-2020,4.55,4.75,4.75,4.35, 4.50,4.5,4.39,156,0.01,7, 146, 93.59
5PAISA, EQ, 02-Mar-2020,158.9,189.9,189.9,155.6, 160.50,162.1,163.45,5856,9.57,201, 3279, 55.99
63MOONS, EQ, 02-Mar-2020,88.7,89.2,94.7,86.05, 87.00,87.95,90.27,107060,96.64,2322, 55311, 51.66
74GS2035, GS, 02-Mar-2020,105.0,101.0,101.0,101.0, 101.00,101.0,101.0,1000,1.01,1, 1000, 100.00
769GS2043, GS, 02-Mar-2020,106.05,110.0,110.0,110.0, 110.00,110.0,110.0,26,0.03,1, 26, 100.00
808GS2022, GS, 02-Mar-2020,86.03,81.76,81.76,81.76, 81.76,81.76,81.76,1,0.0,1, 1, 100.00
8KMILES, BZ, 02-Mar-2020,34.4,32.7,36.0,32.7, 33.70,33.75,32.78,104497,34.26,243, -, -
A2ZINFRA, EQ, 02-Mar-2020,4.5,4.8,4.8,4.1, 4.20,4.4,4.5,188793,8.5,372, 130771, 69.27
AAKASH, SM, 02-Mar-2020,67.7,66.9,66.9,66.9, 66.90,66.9,66.9,2000,1.34,1, 2000, 100.00
AARTIDRUGS, EQ, 02-Mar-2020,692.95,702.0,729.0,660.0, 675.00,668.3,699.2,82483,576.72,5310, 38243, 46.36
AARTIIND, EQ, 02-Mar-2020,976.05,986.0,999.5,956.0, 977.40,971.0,983.63,306520,3015.01,12384, 235580, 76.86
AARVEEDEN, EQ, 02-Mar-2020,12.2,12.05,12.8,11.7, 11.75,11.8,12.05,3360,0.4,135, 2268, 67.50
AAVAS, EQ, 02-Mar-2020,1878.85,1877.0,1916.0,1846.35, 1850.00,1858.4,1867.73,183494,3427.17,8615, 151596, 82.62
ABAN, EQ, 02-Mar-2020,20.25,20.5,20.9,20.0, 20.15,20.15,20.46,51886,10.61,688, 33113, 63.82
ABB, EQ, 02-Mar-2020,1185.0,1185.0,1198.9,1182.05, 1190.00,1190.2,1190.99,99510,1185.16,2500, 85037, 85.46
ABBOTINDIA, EQ, 02-Mar-2020,15718.95,15875.0,16099.9,15210.0, 15400.00,15393.6,15655.21,15393,2409.81,4211, 8535, 55.45
ABCAPITAL, EQ, 02-Mar-2020,77.5,79.0,79.8,75.8, 76.60,76.7,78.21,1238881,968.97,18353, 594660, 48.00
ABFRL, EQ, 02-Mar-2020,251.4,252.1,260.0,234.55, 240.65,238.0,245.88,666569,1638.97,18442, 455620, 68.35
ABINFRA, SM, 02-Mar-2020,12.45,11.85,12.5,11.85, 12.00,12.0,12.43,116000,14.42,21, 108000, 93.10
ABSLBANETF, EQ, 02-Mar-2020,292.0,292.49,292.49,292.49, 292.49,292.49,292.49,1,0.0,1, 1, 100.00
ABSLFTQWDG, MF, 02-Mar-2020,8.8,8.8,8.8,8.8, 8.80,8.8,8.8,85000,7.48,2, 85000, 100.00
ABSLNN50ET, EQ, 02-Mar-2020,267.85,300.0,300.0,270.0, 270.00,270.0,271.01,60,0.16,6, 59, 98.33
ABSLRIF6RG, MF, 02-Mar-2020,7.09,6.85,6.85,6.5, 6.50,6.5,6.73,10000,0.67,3, 10000, 100.00
ACC, EQ, 02-Mar-2020,1320.85,1340.45,1356.45,1270.0, 1275.00,1284.2,1327.61,612866,8136.5,20586, 105414, 17.20
ACCELYA, EQ, 02-Mar-2020,1045.95,1045.95,1059.75,980.0, 1050.00,1039.05,1019.02,15573,158.69,752, 10217, 65.61
ACCURACY, SM, 02-Mar-2020,22.4,23.3,23.3,21.3, 21.30,21.3,22.29,153600,34.24,45, 142400, 92.71
ACE, EQ, 02-Mar-2020,70.05,71.0,72.45,67.0, 67.35,68.1,70.27,136309,95.79,1869, 49688, 36.45
ADANIENT, EQ, 02-Mar-2020,218.65,223.0,226.7,216.15, 218.00,218.6,222.15,3162614,7025.62,19406, 528799, 16.72
ADANIGAS, EQ, 02-Mar-2020,134.05,140.3,146.4,130.55, 134.00,133.7,139.25,5583534,7775.32,43518, 1905453, 34.13
ADANIGREEN, EQ, 02-Mar-2020,154.95,156.6,162.65,150.0, 159.00,156.05,160.53,1127956,1810.73,12138, 472592, 41.90
ADANIPORTS, EQ, 02-Mar-2020,342.2,346.1,351.05,338.3, 340.50,340.65,346.05,2510491,8687.6,38730, 1206740, 48.07
ADANIPOWER, EQ, 02-Mar-2020,47.3,49.2,50.05,46.45, 46.75,47.05,48.68,9497793,4623.18,21981, 1483814, 15.62
